         4980843980 function calls (4980842900 primitive calls) in 3733.126 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  1182385    2.095    0.000   29.168    0.000 <__array_function__ internals>:2(amax)
        2    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(array_equal)
      123    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(concatenate)
 41582642   43.742    0.000  267.017    0.000 <__array_function__ internals>:2(copy)
    29768    0.047    0.000    0.228    0.000 <__array_function__ internals>:2(copyto)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(putmask)
      122    0.001    0.000    0.010    0.000 <__array_function__ internals>:2(sort)
   162382    0.332    0.000    1.423    0.000 <__array_function__ internals>:2(squeeze)
   535247    1.094    0.000   13.772    0.000 <__array_function__ internals>:2(sum)
   863782    1.377    0.000    6.824    0.000 <__array_function__ internals>:2(transpose)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:102(release)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:142(__init__)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:146(__enter__)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:153(__exit__)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:159(_get_module_lock)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(cb)
      8/4    0.000    0.000    0.002    0.001 <frozen importlib._bootstrap>:197(_call_with_frames_removed)
      160    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:208(_verbose_message)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:355(__init__)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:402(parent)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:57(__init__)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:698(find_spec)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:77(acquire)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:771(find_spec)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:834(__enter__)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:838(__exit__)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:852(_find_spec_legacy)
        4    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:861(_find_spec)
     12/4    0.000    0.000    0.002    0.001 <frozen importlib._bootstrap>:931(_find_and_load_unlocked)
     12/4    0.000    0.000    0.002    0.001 <frozen importlib._bootstrap>:958(_find_and_load)
      514    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:989(_handle_fromlist)
       36    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1080(_path_importer_cache)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1102(_legacy_get_spec)
        4    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1117(_get_spec)
