         211828 function calls (211189 primitive calls) in 2.652 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       76    0.000    0.000    0.006    0.000 <__array_function__ internals>:2(amax)
      153    0.000    0.000    0.003    0.000 <__array_function__ internals>:2(append)
        3    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(array_equal)
      173    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(concatenate)
     1104    0.000    0.000    0.018    0.000 <__array_function__ internals>:2(copy)
      153    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(ravel)
       19    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(sort)
       38    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(squeeze)
       38    0.000    0.000    0.007    0.000 <__array_function__ internals>:2(sum)
    35/32    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1017(_handle_fromlist)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:103(release)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:147(__enter__)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:151(__exit__)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:176(cb)
      8/4    0.000    0.000    0.003    0.001 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
       49    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:342(__init__)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:376(cached)
       66    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:389(parent)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:397(has_location)
