         31511131 function calls (31313021 primitive calls) in 76.056 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   268034    0.429    0.000    6.297    0.000 <__array_function__ internals>:2(amax)
    95953    0.162    0.000    4.417    0.000 <__array_function__ internals>:2(append)
        2    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(array_equal)
    96076    0.195    0.000    1.073    0.000 <__array_function__ internals>:2(concatenate)
   388083    0.525    0.000    3.339    0.000 <__array_function__ internals>:2(copy)
    92354    0.197    0.000    0.915    0.000 <__array_function__ internals>:2(copyto)
      732    0.002    0.000    0.006    0.000 <__array_function__ internals>:2(empty_like)
      732    0.004    0.000    0.020    0.000 <__array_function__ internals>:2(full_like)
      732    0.002    0.000    0.012    0.000 <__array_function__ internals>:2(isneginf)
      732    0.007    0.000    0.024    0.000 <__array_function__ internals>:2(isposinf)
        6    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(may_share_memory)
      732    0.002    0.000    0.175    0.000 <__array_function__ internals>:2(nan_to_num)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(putmask)
    95953    0.165    0.000    1.485    0.000 <__array_function__ internals>:2(ravel)
      122    0.000    0.000    0.006    0.000 <__array_function__ internals>:2(sort)
    88572    0.154    0.000    0.721    0.000 <__array_function__ internals>:2(squeeze)
    97178    0.180    0.000    2.666    0.000 <__array_function__ internals>:2(sum)
   179462    0.288    0.000    1.462    0.000 <__array_function__ internals>:2(transpose)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:102(release)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:142(__init__)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:146(__enter__)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:153(__exit__)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:159(_get_module_lock)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(cb)
      8/4    0.000    0.000    0.002    0.001 <frozen importlib._bootstrap>:197(_call_with_frames_removed)
      160    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:208(_verbose_message)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:355(__init__)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:402(parent)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:57(__init__)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:698(find_spec)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:77(acquire)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:771(find_spec)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:834(__enter__)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:838(__exit__)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:852(_find_spec_legacy)
        4    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:861(_find_spec)
     12/4    0.000    0.000    0.002    0.001 <frozen importlib._bootstrap>:931(_find_and_load_unlocked)
     12/4    0.000    0.000    0.003    0.001 <frozen importlib._bootstrap>:958(_find_and_load)
     1246    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap>:989(_handle_fromlist)
       36    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1080(_path_importer_cache)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1102(_legacy_get_spec)
        4    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1117(_get_spec)
        4    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1149(find_spec)
       32    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1233(find_spec)
       32    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:37(_relax_case)
      160    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:57(_path_join)
      160    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:59(<listcomp>)
       32    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:75(_path_stat)
        1    0.040    0.040   76.056   76.056 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 <string>:12(__new__)
        1    0.000    0.000    0.000    0.000 __init__.py:125(lrange)
        7    0.000    0.000    0.000    0.000 __init__.py:221(iteritems)
        1    0.000    0.000    0.000    0.000 __init__.py:227(itervalues)
