MU,CALIs
0.0,"[-0.09966799462495568, -0.09966799462495568, -0.09966799462495568, -0.09966799462495568, -0.09966799462495568, -0.09966799462495568, -0.09966799462495568, -0.09966799462495568, -0.09966799462495568]"
5e-06,"[-0.09883842731766257, -0.0987822457033638, -0.09761960834849948, -0.09907308711146923, -0.09878224570336458, -0.09476251246369694, -0.09897914938326313, -0.09883842731766179, -0.09897914938326313]"
1e-05,"[-0.09579973844242684, -0.09574736084484314, -0.09262955820956542, -0.09659807795541175, -0.09574736084484314, -0.08629787024094915, -0.09630872406905644, -0.09579973844242595, -0.09630872406905644]"
1.5e-05,"[-0.08820728488869245, -0.08825087277287758, -0.08204444256529109, -0.09010503933253933, -0.08825087277287758, -0.07161968005210695, -0.08944964225284813, -0.08820728488869245, -0.08944964225284735]"
2e-05,"[-0.07185506239688755, -0.07212498029210279, -0.06137187179361103, -0.07565083520058447, -0.07212498029210279, -0.046412448627211056, -0.07436668448225237, -0.07185506239688755, -0.07436668448225237]"
2.5e-05,"[-0.040185351836323324, -0.04084136519665371, -0.02399921345881406, -0.04690787360713489, -0.04084136519665371, -0.004547373256062581, -0.04464398726075858, -0.04018535183632166, -0.04464398726075858]"
3e-05,"[0.014796517661340935, 0.013604376430169207, 0.03757095364577134, 0.004126711699041552, 0.013604376430168319, 0.060632285862177504, 0.0077371984904621716, 0.014796517661340935, 0.007737198490460395]"
3.5e-05,"[0.09884867358498606, 0.09705046868279843, 0.12785966126930104, 0.08369892968381887, 0.09705046868279843, 0.15267362112388772, 0.0888779022387911, 0.09884867358498606, 0.08887790223879]"
4e-05,"[0.21019796455643247, 0.2078657063884306, 0.24348097402704383, 0.19099820184025385, 0.2078657063884306, 0.26762440009171984, 0.19764837626851328, 0.21019796455643047, 0.1976483762685144]"
4.5e-05,"[0.33774421583614767, 0.3350844899939591, 0.37224341949851936, 0.31591493826051575, 0.33508448999396023, 0.39357484256644115, 0.3235865981142272, 0.33774421583614767, 0.32358659811422585]"
5e-05,"[0.46601779987118164, 0.46328963431553705, 0.49872993529249676, 0.4434446735774995, 0.4632896343155397, 0.516066901720633, 0.4514980666317283, 0.4660177998711843, 0.45149806663172565]"
5.5e-05,"[0.5823962370635163, 0.579819864317235, 0.6112686837758488, 0.5607725217157242, 0.579819864317235, 0.6244592589989502, 0.568604262077228, 0.5823962370635163, 0.568604262077228]"
6e-05,"[0.6804702149370359, 0.6781827282892439, 0.7046080724270019, 0.6609293914558108, 0.6781827282892468, 0.7141660502294984, 0.6681122711786465, 0.680470214937033, 0.6681122711786496]"
6.5e-05,"[0.7591295431653573, 0.7571877642212848, 0.7785240851803334, 0.7422167670679016, 0.7571877642212848, 0.7852141278618714, 0.7485238870954916, 0.7591295431653635, 0.7485238870954916]"
7e-05,"[0.8202262779380918, 0.8186306371919951, 0.8353696490157052, 0.8060435840688349, 0.8186306371919951, 0.8399408388025864, 0.8114070992341123, 0.8202262779380918, 0.8114070992341058]"
7.5e-05,"[0.8667122644679364, 0.8654316270031319, 0.878294542305105, 0.8550918540242591, 0.8654316270031319, 0.8813663979631376, 0.8595463828274319, 0.866712264467933, 0.8595463828274319]"
8e-05,"[0.9016115741904522, 0.9006014021136184, 0.9103382887423084, 0.8922529406671258, 0.9006014021136184, 0.912378969178036, 0.8958879678035152, 0.9016115741904589, 0.8958879678035254]"
8.5e-05,"[0.9275836402102391, 0.926797027231073, 0.9340868572820804, 0.9201432610824525, 0.9267970272310766, 0.9354317251128383, 0.9230704119388973, 0.9275836402102391, 0.9230704119388939]"
9e-05,"[0.9468006563589428, 0.946194081881728, 0.9516074656595686, 0.9409432240375668, 0.9461940818817349, 0.9524888402512541, 0.9432765076552687, 0.9468006563589428, 0.9432765076552687]"
9.5e-05,"[0.9609654077606387, 0.9605011720844263, 0.964496553564955, 0.9563890715207821, 0.9605011720844263, 0.9650719090054865, 0.9582343359795298, 0.9609654077606455, 0.9582343359795369]"
0.0001,"[0.9713801208225252, 0.9710269141071597, 0.9739620120615271, 0.9678259732960945, 0.9710269141071597, 0.9743365558243424, 0.9692762145168794, 0.9713801208225323, 0.9692762145168794]"
0.000105,"[0.9790252927624659, 0.9787578252923343, 0.9809062747481174, 0.9762781372065168, 0.9787578252923343, 0.9811496091949636, 0.97741222738175, 0.9790252927624659, 0.97741222738175]"
0.00011,"[0.9846317701498035, 0.9844300050375749, 0.9859982223835972, 0.9825165665424787, 0.9844300050375678, 0.9861560849945836, 0.9833998123547472, 0.9846317701498035, 0.9833998123547611]"
0.000115,"[0.9887407278843647, 0.9885890088667266, 0.9897311470690853, 0.9871172836766267, 0.9885890088667266, 0.989833452338857, 0.9878028443629021, 0.9887407278843718, 0.9878028443629092]"
0.00012,"[0.9917511632261942, 0.9916373822675753, 0.9924677148701266, 0.9905084689556243, 0.9916373822675895, 0.9925339637624497, 0.991039076166812, 0.9917511632261942, 0.9910390761668051]"
