  Tract,CALI
V1,-0.9956631322869683
V2,-0.9956631322869687
V3,-0.9956631322868384
V4,-0.9956631322869638
V5,-0.9956631322869685
V6,-0.9956631322869682
V7,-0.9956631322869688
V8,-0.9956631322679665
V9,-0.9956631322869683
V10,-0.9956631322868177
V11,-0.9956631322869685
V12,-0.995663132286966
V13,-0.9956631322869682
V14,-0.9956631322869685
V15,-0.9956631322869426
V16,-0.9956631322848226
V17,-0.9956631322869686
V18,-0.9956631322869685
V19,-0.9956630598306371
whole GM,196.28412402414608
