Tract,CALI
V1,-0.36625642730514696
V2,-0.3662564273051795
V3,-0.3662564273051788
V4,-0.36625642730517305
V5,-0.3662564273051272
V6,-0.36625642730511854
V7,-0.36625642730510644
V8,-0.36625642730621055
V9,-0.36625642730516406
V10,-0.36625642730516783
V11,-0.3662564273051995
V12,-0.36625642730516694
V13,-0.3662564273051754
V14,-0.36625642730516117
V15,-0.3662564273051552
V16,-0.366256427305209
V17,-0.3662564273051695
V18,-0.36625642730519925
V19,-0.3662564291302117
whole GM,226.4992389173526
