Tract,CALI
V1,-0.995663132286968
V2,-0.9956631322869679
V3,-0.9956631322868378
V4,-0.9956631322869636
V5,-0.995663132286968
V6,-0.995663132286968
V7,-0.9956631322869678
V8,-0.9956631322679659
V9,-0.9956631322869679
V10,-0.995663132286817
V11,-0.9956631322869676
V12,-0.9956631322869659
V13,-0.9956631322869679
V14,-0.9956631322869679
V15,-0.9956631322869419
V16,-0.9956631322848224
V17,-0.9956631322869678
V18,-0.995663132286968
V19,-0.9956630598306369
whole GM,196.284124024146
