Tract index,CALI
1,-0.05759927762084793
2,-0.0485195464977527
3,-0.04998623166661298
4,-0.052736960359821006
5,-0.04729062372891335
6,-0.05008121796010245
7,-0.05292507256602985
8,-0.0529456688424802
9,-0.04608190806163037
10,-0.053863401017887
11,-0.06228803213482692
12,-0.0550363888852865
13,-0.05319414748158702
14,-0.051114720654657386
15,-0.05855890608429137
16,-0.051422453616680186
17,-0.0445035438890895
18,-0.05752457849429926
19,-0.04791327082505403
whole GM,13.190375171438912
