Tract,Z_i,time,P_i
V1,13.420544232788465,0.49718475341796875,0.9147000472815715
V2,13.371547318371249,0.4987947940826416,0.911360579138053
V3,13.498407758057262,0.48668408393859863,0.9200069684473222
V4,13.514318403259736,0.47925877571105957,0.9210913855668178
V5,13.366019295796931,0.5252201557159424,0.9109838073453154
V6,13.42961601012192,0.5143449306488037,0.9153183497149084
V7,13.558491425990034,0.5666220188140869,0.9241020731573596
V8,13.516777983836857,0.4634389877319336,0.9212590224697005
V9,13.583572385958755,0.539715051651001,0.9258115086967326
V10,13.465121308534723,0.5349218845367432,0.9177382737935156
V11,13.76446675280207,0.4883239269256592,0.9381406723308194
V12,13.446711548884213,0.5026988983154297,0.9164835252728392
V13,13.234864505170497,0.5414087772369385,0.9020447292344512
V14,13.464467793789188,0.5492508411407471,0.9176937323831025
V15,13.461615653936866,0.5596261024475098,0.9174993399342927
V16,13.478629280656964,0.49984002113342285,0.9186589326374919
V17,13.474240453001599,0.413546085357666,0.9183598046144967
V18,13.659995640734769,0.3895599842071533,0.9310202657742768
V19,13.555854390429008,0.36562681198120117,0.9239223415078441
whole GM,14.672071213589025,0.30878210067749023,N/A
