Tract index,P
1,[0.1447731 0.8552269]
2,[0.11513571 0.88486429]
3,[0.24904737 0.75095263]
4,[0.2116917 0.7883083]
5,[0.11080122 0.88919878]
6,[0.13176356 0.86823644]
7,[0.17301934 0.82698066]
8,[0.25305486 0.74694514]
9,[0.16386932 0.83613068]
10,[0.21875479 0.78124521]
11,[0.09027887 0.90972113]
12,[0.19050894 0.80949106]
13,[0.02722472 0.97277528]
14,[0.10900623 0.89099377]
15,[0.20390809 0.79609191]
16,[0.24047853 0.75952147]
17,[0.17997073 0.82002927]
18,[0.17242057 0.82757943]
19,[0.32636854 0.67363146]
whole GM,14.293458264798288
