Tract,CALI
V1,-0.008987740680951872
V2,-0.009577309335880413
V3,-0.00935923027262342
V4,-0.009353944330689146
V5,-0.009164139491051326
V6,-0.009719676417539236
V7,-0.00941469258791583
V8,-0.009755691201887018
V9,-0.0100865328077826
V10,-0.0099367481088255
V11,-0.008965724985244727
V12,-0.00946002548246716
V13,-0.011459615102561771
V14,-0.010204764323493043
V15,-0.009850428490448704
V16,-0.00999366908819077
V17,-0.010363953909362844
V18,-0.009333620845752622
V19,-0.009942704984255313
whole GM,13.199504282409379
