Tract index,CALI
1,-0.06553381434608108
2,-0.04718621640126941
3,-0.04927436631734983
4,-0.05581427797859073
5,-0.044790913095622886
6,-0.051202940907402406
7,-0.05637698892067855
8,-0.05636617689908119
9,-0.044211405554025696
10,-0.05844968574317544
11,-0.0753234820062676
12,-0.0609892420707725
13,-0.05714030636095224
14,-0.055070999531216525
15,-0.06841682132935212
16,-0.05326767660132914
17,-0.040623822667819054
18,-0.06606188393700296
19,-0.0464447986280232
whole GM,13.187741130266494
