Tract index,CALI
1,[ 0.76459841 -0.76459841]
2,[ 0.81028348 -0.81028348]
3,[ 0.71548615 -0.71548615]
4,[ 0.71202802 -0.71202802]
5,[ 0.8063402 -0.8063402]
6,[ 0.78363277 -0.78363277]
7,[ 0.78271051 -0.78271051]
8,[ 0.56389516 -0.56389516]
9,[ 0.77166226 -0.77166226]
10,[ 0.63569506 -0.63569506]
11,[ 0.84736846 -0.84736846]
12,[ 0.68578497 -0.68578497]
13,[ 0.97263007 -0.97263007]
14,[ 0.86797939 -0.86797939]
15,[ 0.62105297 -0.62105297]
16,[ 0.61338004 -0.61338004]
17,[ 0.79412489 -0.79412489]
18,[ 0.71024514 -0.71024514]
19,[ 0.46176609 -0.46176609]
whole GM,16.265717486491617
