Tract,CALI
V1,-0.1581987223630068
V2,-0.16332890714735637
V3,-0.14289623068688473
V4,-0.14726002888899903
V5,-0.16218439084997782
V6,-0.15817544068702616
V7,-0.1572571236643019
V8,-0.13550105735964013
V9,-0.15710537912910727
V10,-0.143606868503367
V11,-0.17724425422773327
V12,-0.1488964647063058
V13,-0.22400278413122976
V14,-0.1763315409667361
V15,-0.14560636167433305
V16,-0.13903278253506934
V17,-0.15769880341699938
V18,-0.15390150368947153
V19,-0.12268354733751519
whole GM,13.412837020674203
