Tract index,CALI
1,-0.06582898051404007
2,-0.046264584293952304
3,-0.0507225191057844
4,-0.05516099534204211
5,-0.044413702905390595
6,-0.050691754409236234
7,-0.05741461642473045
8,-0.05584254980006298
9,-0.044217156676688685
10,-0.05895632684355867
11,-0.07623727732459062
12,-0.06009369526730235
13,-0.05807765761765571
14,-0.05348271657804404
15,-0.06704047860152107
16,-0.05415693950303002
17,-0.03950421039512264
18,-0.06545661770208167
19,-0.045794958814117326
whole GM,13.187738482199011
