Tract,CALI
V1,-0.9945026420373371
V2,-0.9965176606215455
V3,-0.9825310596582245
V4,-0.9873516706503773
V5,-0.9958891995836836
V6,-0.9954430187505151
V7,-0.9931031414613682
V8,-0.9719623837379483
V9,-0.9930345811334965
V10,-0.9823632274264418
V11,-0.9985481988764068
V12,-0.9882392802631248
V13,-0.9999700040744942
V14,-0.9982383067837217
V15,-0.9849626658507818
V16,-0.9773010700899197
V17,-0.9935442332855249
V18,-0.992580486453121
V19,-0.9389700937008086
whole GM,36.38725216903397
