Tract,CALI
V1,-0.7685290611694613
V2,-0.7692578723361174
V3,-0.7664299295015624
V4,-0.7670244711589896
V5,-0.7689437163849909
V6,-0.7687905037858381
V7,-0.7680917981716839
V8,-0.7656086350140433
V9,-0.7680152266133947
V10,-0.7664351167661281
V11,-0.7708982711622641
V12,-0.7671719857913689
V13,-0.7774622176847552
V14,-0.7704483180172594
V15,-0.7667630533215744
V16,-0.7659609002075495
V17,-0.768155774940262
V18,-0.7680445845333932
V19,-0.7641571040213752
whole GM,21.520977513644794
