Tract index,CALI
1,-0.15505606201628241
2,-0.14109939463847576
3,-0.13031090025929115
4,-0.13838984406235122
5,-0.13892187540019418
6,-0.1394275918852237
7,-0.1459634932011773
8,-0.1302393914679496
9,-0.13256513155868455
10,-0.13760122629917748
11,-0.1764067252815824
12,-0.14383332408493255
13,-0.18976635616543913
14,-0.15542316408768997
15,-0.14727943588702586
16,-0.12952334983927405
17,-0.12968379821376863
18,-0.15119230640269632
19,-0.11157913041408041
whole GM,13.387033891243842
