MU,CALIs
0.0,"[-0.7615941559557649, -0.7615941559557649, -0.7615941559557649, -0.7615941559557649, -0.7615941559557649, -0.7615941559557649, -0.7615941559557649, -0.7615941559557649, -0.7615941559557649]"
1.87e-05,"[-0.8605974116365414, -0.8556483983963338, -0.8600341808833725, -0.8795311749540282, -0.8530018171199395, -0.8600341808833727, -0.8556483983963338, -0.860597411636541, -0.8556483983963338]"
3.75e-05,"[-0.9296789499414256, -0.9238122716661643, -0.9289855656274343, -0.9493738568247903, -0.9205807897943514, -0.9289855656274344, -0.9238122716661641, -0.9296789499414256, -0.9238122716661641]"
5.62e-05,"[-0.9669243857828818, -0.9622745230499316, -0.966369288093469, -0.9806293844588999, -0.9596228618882695, -0.966369288093469, -0.9622745230499316, -0.9669243857828818, -0.9622745230499316]"
7.5e-05,"[-0.9845633890631038, -0.9814736929707822, -0.9841969885492471, -0.9925793735551166, -0.9796444158451638, -0.9841969885492471, -0.9814736929707822, -0.9845633890631038, -0.9814736929707821]"
9.37e-05,"[-0.9905637829260558, -0.9886944740586272, -0.9903463423335229, -0.9948686993387553, -0.9875452905053751, -0.9903463423335229, -0.9886944740586272, -0.9905637829260558, -0.9886944740586271]"
0.0001125,"[-0.9752333971982221, -0.9742176143841033, -0.975120494723581, -0.9773669269157353, -0.9735732823579979, -0.9751204947235809, -0.9742176143841033, -0.9752333971982221, -0.9742176143841033]"
0.0001312,"[-0.8171766976409622, -0.8168251221599045, -0.8171467220856599, -0.8180067723577045, -0.8166143220770504, -0.8171467220856595, -0.8168251221599052, -0.8171766976409625, -0.8168251221599045]"
0.00015,"[-0.030873963344380306, -0.031085560101432708, -0.03091240972864462, -0.030862549884923984, -0.03128630437229041, -0.030912409728641177, -0.031085560101432708, -0.030873963344376865, -0.031085560101432708]"
0.0001687,"[0.7954946359563537, 0.7952701333192254, 0.795462143103322, 0.7956258534441525, 0.7950664627491619, 0.7954621431033155, 0.7952701333192318, 0.7954946359563411, 0.7952701333192189]"
0.0001875,"[0.9762020215655027, 0.9761138077789144, 0.976190074207375, 0.9762504312626534, 0.9760291813297861, 0.976190074207361, 0.9761138077789075, 0.9762020215655098, 0.9761138077789144]"
0.0002062,"[0.9974212538096296, 0.997391249828719, 0.9974173934670971, 0.99743566834569, 0.997360519126403, 0.9974173934670831, 0.9973912498287048, 0.9974212538096225, 0.9973912498287048]"
0.000225,"[0.9997248737479634, 0.9997149851331641, 0.9997236634210869, 0.9997290017203351, 0.9997041562315225, 0.9997236634210869, 0.9997149851331499, 0.9997248737479776, 0.9997149851331713]"
0.0002438,"[0.9999702134605346, 0.999966982129828, 0.9999698373353103, 0.9999713886199568, 0.9999632000345138, 0.9999698373353103, 0.999966982129828, 0.9999702134605346, 0.9999669821298138]"
0.0002625,"[0.9999966067303752, 0.999995550250482, 0.9999964898262339, 0.9999969429722673, 0.9999942298362765, 0.9999964898262481, 0.9999955502504678, 0.9999966067303752, 0.999995550250482]"
0.0002812,"[0.9999995771825623, 0.9999992332658612, 0.9999995410305791, 0.9999996733160943, 0.9999987745515975, 0.9999995410305933, 0.9999992332658754, 0.9999995771825623, 0.9999992332658896]"
0.0003,"[0.999999938205157, 0.9999998273319068, 0.9999999271444135, 0.9999999654935989, 0.9999996695519189, 0.9999999271444135, 0.9999998273318926, 0.999999938205157, 0.9999998273319353]"
0.0003187,"[0.9999999885136264, 0.9999999526677901, 0.9999999851214243, 0.9999999963091559, 0.9999998982923288, 0.9999999851213817, 0.9999999526677759, 0.9999999885136264, 0.9999999526677901]"
0.0003375,"[0.999999997397909, 0.9999999859101782, 0.9999999963676531, 0.9999999996094804, 0.9999999673389104, 0.9999999963676389, 0.9999999859102067, 0.9999999973978948, 0.9999999859101782]"
0.0003562,"[0.9999999993265725, 0.9999999956314927, 0.9999999990126582, 0.9999999999581073, 0.999999989270977, 0.999999999012644, 0.9999999956314927, 0.9999999993265867, 0.9999999956314927]"
0.000375,"[0.9999999998164375, 0.9999999986375219, 0.9999999997216484, 0.9999999999955405, 0.9999999964771895, 0.9999999997216342, 0.9999999986375219, 0.9999999998164091, 0.9999999986375219]"
0.0003937,"[0.9999999999483533, 0.9999999995706474, 0.9999999999196465, 0.9999999999995133, 0.9999999988343866, 0.9999999999196181, 0.9999999995706474, 0.9999999999483675, 0.999999999570619]"
0.0004125,"[0.999999999985417, 0.9999999998653237, 0.9999999999767928, 0.9999999999999432, 0.9999999996164073, 0.9999999999767928, 0.9999999998653237, 0.999999999985417, 0.9999999998653237]"
0.0004312,"[0.9999999999958868, 0.9999999999574873, 0.9999999999932383, 1.000000000000016, 0.9999999998729772, 0.9999999999932383, 0.9999999999574305, 0.9999999999958584, 0.9999999999574873]"
0.00045,"[0.9999999999988072, 0.9999999999866471, 0.9999999999980274, 0.9999999999999609, 0.999999999958189, 0.9999999999979989, 0.9999999999866471, 0.9999999999988356, 0.9999999999866471]"
