Tract,CALI
V1,-0.0583315799891162
V2,-0.02288908258329103
V3,-0.012601612445302446
V4,-0.08542259007956976
V5,0.021047194761411037
V6,-0.049774998187943176
V7,-0.0052767317124061686
V8,-0.12457045231054087
V9,-0.05717349391245785
V10,-0.14331829825759979
V11,-0.03587149753977403
V12,-0.13764318017367927
V13,-0.019276315778528286
V14,0.02431801410242085
V15,-0.10496617041203071
V16,-0.10834986255252155
V17,0.014699716989853284
V18,-0.08737340915576153
V19,-0.1628614326531569
whole GM,13.780058097415143
