Tract index,CALI
1,-0.49927853303874736
2,-0.5068658583874479
3,-0.3802156253979657
4,-0.4113994401513358
5,-0.5119307962491115
6,-0.48400218256324856
7,-0.47098862859378343
8,-0.3330078145283958
9,-0.43456262360650144
10,-0.38544634910655207
11,-0.6075419556500588
12,-0.42560661067731387
13,-0.7664512606389764
14,-0.5537702850063972
15,-0.4066787985319559
16,-0.3456426037501955
17,-0.42546608451283374
18,-0.4541743049042748
19,-0.23313413672014294
whole GM,13.574503335568702
