Tract index,P
1,[0.8857571 0.1142429]
2,[0.90698557 0.09301443]
3,[0.84896207 0.15103793]
4,[0.85092322 0.14907678]
5,[0.90324157 0.09675843]
6,[0.89580992 0.10419008]
7,[0.88686328 0.11313672]
8,[0.7756367 0.2243633]
9,[0.87358821 0.12641179]
10,[0.81342953 0.18657047]
11,[0.92915458 0.07084542]
12,[0.83960709 0.16039291]
13,[0.98919799 0.01080201]
14,[0.93101271 0.06898729]
15,[0.81314883 0.18685117]
16,[0.79800955 0.20199045]
17,[0.88491965 0.11508035]
18,[0.85594669 0.14405331]
19,[0.71770955 0.28229045]
whole GM,15.512083461412823
