MU,CALIs
0.0,"[-0.46211715726000957, -0.46211715726000957, -0.46211715726000957, -0.46211715726000957, -0.46211715726000957, -0.46211715726000957, -0.46211715726000957, -0.46211715726000957, -0.46211715726000957]"
8.8e-06,"[-0.5408838862268948, -0.5455128907134029, -0.5665994758762933, -0.5380823649969941, -0.5455128907134029, -0.5929526753798506, -0.5408838862268943, -0.5469805138142078, -0.5408838862268943]"
1.75e-05,"[-0.6371839068999798, -0.6460147698121013, -0.6839247616512398, -0.6317466169346246, -0.6460147698121013, -0.7254368759051582, -0.6371839068999795, -0.6487421612715389, -0.6371839068999795]"
2.62e-05,"[-0.7370369932250322, -0.7484083331516025, -0.7939585379900069, -0.7298925435522297, -0.7484083331516032, -0.8370515554584724, -0.7370369932250322, -0.75182115607402, -0.7370369932250322]"
3.5e-05,"[-0.8227775969010601, -0.8344712620114202, -0.8778331852134007, -0.8152615555544673, -0.8344712620114202, -0.9128210066812293, -0.8227775969010602, -0.8378773693892608, -0.8227775969010602]"
4.38e-05,"[-0.8836571210307984, -0.8939992487480205, -0.9293621651140109, -0.8768471652317839, -0.8939992487480205, -0.9535157114928228, -0.8836571210307985, -0.8969241993221687, -0.8836571210307984]"
5.25e-05,"[-0.9207714623303201, -0.9290902860005965, -0.9553180572862882, -0.9151581626316025, -0.9290902860005966, -0.970456334197717, -0.9207714623303203, -0.9313787831680297, -0.9207714623303201]"
6.13e-05,"[-0.9399840895585261, -0.9462444355058983, -0.9644514333107601, -0.935654500633539, -0.9462444355058983, -0.9733142226317042, -0.9399840895585261, -0.9479227687608204, -0.939984089558526]"
7e-05,"[-0.9441860626153843, -0.9486995398117948, -0.9608578764941916, -0.9409899831277873, -0.9486995398117948, -0.9658752892575104, -0.9441860626153843, -0.9498823553171916, -0.9441860626153843]"
7.88e-05,"[-0.9334192674054484, -0.9365293988017822, -0.9443226396067543, -0.9311669363942277, -0.9365293988017822, -0.9470628116212073, -0.9334192674054486, -0.9373288975278552, -0.9334192674054484]"
8.75e-05,"[-0.9038741270032369, -0.9059273659723495, -0.9107551805663057, -0.9023578288158245, -0.9059273659723492, -0.9122212516226147, -0.9038741270032367, -0.9064480957458626, -0.9038741270032369]"
9.63e-05,"[-0.8461017995346075, -0.8473611489409415, -0.8501766218771152, -0.845158331630182, -0.8473611489409412, -0.850929194873028, -0.8461017995346075, -0.8476793803057879, -0.8461017995346075]"
0.000105,"[-0.7481673460548883, -0.7488575168895583, -0.7503689268240374, -0.7476498331561092, -0.7488575168895587, -0.7507393336802224, -0.7481673460548883, -0.7490351823471748, -0.7481673460548879]"
0.0001138,"[-0.5924447847867542, -0.5927335050083204, -0.5934111473221819, -0.5922389709849721, -0.5927335050083204, -0.5935780916353791, -0.5924447847867542, -0.5928148893278138, -0.5924447847867558]"
0.0001225,"[-0.3739526371144597, -0.37398681474831397, -0.37418097364471015, -0.37395156792717577, -0.37398681474831397, -0.3742475404109342, -0.3739526371144619, -0.37400844141775813, -0.37395263711446414]"
0.0001313,"[-0.09914871697451155, -0.09904481663695275, -0.0989932661460311, -0.09926210326561591, -0.09904481663695275, -0.09901375595793194, -0.09914871697450833, -0.09903401506168397, -0.09914871697451155]"
0.00014,"[0.18917713476492026, 0.18932795860135787, 0.18946494014989512, 0.18902444061881618, 0.18932795860134943, 0.18946190439523547, 0.1891771347649287, 0.18935080706861895, 0.18917713476492026]"
0.0001488,"[0.451133596893154, 0.4512764787182295, 0.4514138969136887, 0.45098933077260384, 0.45127647871823995, 0.45141579009443844, 0.451133596893154, 0.45129951975170224, 0.4511335968931438]"
0.0001575,"[0.6513051645519152, 0.6514173821188829, 0.651523369348993, 0.6511902463774728, 0.6514173821188887, 0.6515256206058095, 0.6513051645519152, 0.651435667200917, 0.651305164551927]"
0.0001663,"[0.7903709683633513, 0.7904498466472178, 0.7905212431948319, 0.7902884909735819, 0.7904498466472241, 0.7905227882535635, 0.7903709683633386, 0.7904626045812682, 0.7903709683633386]"
0.000175,"[0.8773075203832617, 0.8773597211222146, 0.8774045754172017, 0.8772516282377947, 0.8773597211222146, 0.8774054638793394, 0.877307520383255, 0.8773680351361586, 0.877307520383255]"
0.0001838,"[0.9300632170089687, 0.9300962730992255, 0.9301230980367028, 0.9300269030381427, 0.9300962730992255, 0.9301235625684174, 0.9300632170089687, 0.9301014342718896, 0.9300632170089687]"
0.0001925,"[0.9603516266899224, 0.9603721758333195, 0.9603879031740314, 0.9603284500530898, 0.9603721758333126, 0.9603881363409226, 0.9603516266899224, 0.9603753140712972, 0.9603516266899295]"
0.0002013,"[0.9778219749021106, 0.9778344936289058, 0.9778435177277915, 0.9778074663036069, 0.9778344936289058, 0.977843630608628, 0.9778219749021246, 0.9778363603560805, 0.9778219749021246]"
0.00021,"[0.9875602921216442, 0.9875678916136665, 0.9875730548458648, 0.9875512418218837, 0.9875678916136665, 0.9875731090329629, 0.98756029212163, 0.9875689973162733, 0.9875602921216442]"
