Tract,CALI
V1,-0.8277963727282645
V2,-0.8333528012758833
V3,-0.8098238397883128
V4,-0.8149911849445842
V5,-0.8312555647996209
V6,-0.8292504750540207
V7,-0.8243116039801878
V8,-0.802046827670791
V9,-0.8234142528120072
V10,-0.8096712322045043
V11,-0.8464114782705323
V12,-0.8162848852662494
V13,-0.8883884434707641
V14,-0.8428586081186372
V15,-0.8125208703007865
V16,-0.8052656678432816
V17,-0.8243713522028976
V18,-0.8234380446572376
V19,-0.7880536294982201
whole GM,22.61033751012904
