Tract index,CALI
1,-0.12149034580584317
2,-0.1142087092857691
3,-0.11019716627743703
4,-0.11393503187215548
5,-0.11283588443294024
6,-0.11421947413687228
7,-0.11645596990121176
8,-0.11106739852114533
9,-0.10980578745012104
10,-0.11372920786301544
11,-0.13045195074156346
12,-0.11640905352170705
13,-0.13407780929599766
14,-0.11946070140414278
15,-0.11854220465153809
16,-0.11030709036304653
17,-0.10853619214840204
18,-0.12013098786529153
19,-0.10321636581844018
whole GM,13.296433584453919
