Tract,CALI
V1,-0.684290974933657
V2,-0.6842909749336492
V3,-0.6842909749336408
V4,-0.6842909749336348
V5,-0.6842909749336392
V6,-0.6842909749336348
V7,-0.6842909749336499
V8,-0.6842909749343744
V9,-0.6842909749336299
V10,-0.6842909749336465
V11,-0.6842909749336487
V12,-0.6842909749336379
V13,-0.6842909749336507
V14,-0.6842909749336403
V15,-0.684290974933653
V16,-0.6842909749336528
V17,-0.684290974933636
V18,-0.6842909749336399
V19,-0.6842909722057017
whole GM,221.2494285350865
