Tract index,CALI
1,-0.12233395668691993
2,-0.1151718161347357
3,-0.11059136059240904
4,-0.11430120499874852
5,-0.11399390871063708
6,-0.1156023193914334
7,-0.1171735321629106
8,-0.11146614131641963
9,-0.11028006884847963
10,-0.11400540839378248
11,-0.13164466515298967
12,-0.11684449094202598
13,-0.1360182592095438
14,-0.12052177439537615
15,-0.11885714239038125
16,-0.110671474528648
17,-0.10916529058178948
18,-0.12068782442405457
19,-0.10326646110939008
whole GM,13.27076192644013
