Tract index,P
1,[0.8822992 0.1177008]
2,[0.90514174 0.09485826]
3,[0.85774308 0.14225692]
4,[0.85601401 0.14398599]
5,[0.9031701 0.0968299]
6,[0.89181638 0.10818362]
7,[0.89135525 0.10864475]
8,[0.78194758 0.21805242]
9,[0.88583113 0.11416887]
10,[0.81784753 0.18215247]
11,[0.92368423 0.07631577]
12,[0.84289248 0.15710752]
13,[0.98631503 0.01368497]
14,[0.9339897 0.0660103]
15,[0.81052649 0.18947351]
16,[0.80669002 0.19330998]
17,[0.89706245 0.10293755]
18,[0.85512257 0.14487743]
19,[0.73088304 0.26911696]
whole GM,16.265717486491617
