Tract index,P
1,[0.89494734 0.10505266]
2,[0.92426342 0.07573658]
3,[0.86507664 0.13492336]
4,[0.86408619 0.13591381]
5,[0.92097452 0.07902548]
6,[0.91362401 0.08637599]
7,[0.89976323 0.10023677]
8,[0.78835938 0.21164062]
9,[0.8952586 0.1047414]
10,[0.82544529 0.17455471]
11,[0.93552068 0.06447932]
12,[0.85091334 0.14908666]
13,[0.99291114 0.00708886]
14,[0.94415039 0.05584961]
15,[0.81892323 0.18107677]
16,[0.81411073 0.18588927]
17,[0.90734227 0.09265773]
18,[0.86603787 0.13396213]
19,[0.73622566 0.26377434]
whole GM,16.197126620115302
