Tract,CALI
V1,-0.1581987223630098
V2,-0.16332890714736248
V3,-0.1428962306868894
V4,-0.14726002888899925
V5,-0.16218439084998082
V6,-0.1581754406870277
V7,-0.1572571236643049
V8,-0.13550105735964324
V9,-0.15710537912911038
V10,-0.14360686850337012
V11,-0.17724425422773482
V12,-0.14889646470631035
V13,-0.22400278413123254
V14,-0.17633154096673742
V15,-0.14560636167433305
V16,-0.13903278253507256
V17,-0.15769880341700382
V18,-0.15390150368947608
V19,-0.12268354733751674
whole GM,13.412837020674207
