Tract index,CALI
1,-0.28736934523526236
2,-0.27581353782350815
3,-0.20393265742017808
4,-0.22438052917340612
5,-0.2743799687433518
6,-0.25729080248194625
7,-0.26381776092346454
8,-0.1802036082282492
9,-0.22700784574421962
10,-0.21415739573870984
11,-0.37065486174803086
12,-0.24175504996476993
13,-0.47534721938778257
14,-0.31626051058433935
15,-0.23772537249964287
16,-0.18455618632529402
17,-0.21486040163938125
18,-0.259284573556812
19,-0.11422228914525334
whole GM,13.211608180658201
