Tract index,CALI
1,[ 0.78972356 -0.78972356]
2,[ 0.84891097 -0.84891097]
3,[ 0.73028418 -0.73028418]
4,[ 0.72856362 -0.72856362]
5,[ 0.84189234 -0.84189234]
6,[ 0.82731323 -0.82731323]
7,[ 0.79932845 -0.79932845]
8,[ 0.57629049 -0.57629049]
9,[ 0.79081955 -0.79081955]
10,[ 0.6509653 -0.6509653]
11,[ 0.87089235 -0.87089235]
12,[ 0.7012672 -0.7012672]
13,[ 0.98577045 -0.98577045]
14,[ 0.88863293 -0.88863293]
15,[ 0.6376602 -0.6376602]
16,[ 0.62848121 -0.62848121]
17,[ 0.81457239 -0.81457239]
18,[ 0.73197405 -0.73197405]
19,[ 0.47265331 -0.47265331]
whole GM,16.19712492030467
