Tract index,CALI
1,-0.38583411983418126
2,-0.36892413498998977
3,-0.30230161581540793
4,-0.3274931198056118
5,-0.3699324160704488
6,-0.34964052917268174
7,-0.3712473333096683
8,-0.2748914273187203
9,-0.34179693860250115
10,-0.31286609105611407
11,-0.4670328068344355
12,-0.3417566397224412
13,-0.5573931865942641
14,-0.42923074570741515
15,-0.3338531136518246
16,-0.28303766360156934
17,-0.3326425236763173
18,-0.36084727831354113
19,-0.19740251793527597
whole GM,13.824590056575355
