Tract,CALI
V1,-0.060150016630972525
V2,-0.06202506646930628
V3,-0.05720457403073986
V4,-0.058187054553182516
V5,-0.06117848111853874
V6,-0.06073945001213066
V7,-0.05990508631818148
V8,-0.056097784844902354
V9,-0.060534104673780176
V10,-0.05802403992808047
V11,-0.06368497084588276
V12,-0.05867990242549592
V13,-0.07500626644807717
V14,-0.06409633900072642
V15,-0.058646768502231716
V16,-0.05690217087822991
V17,-0.06091646032870579
V18,-0.05988121573206473
V19,-0.05383914985649707
whole GM,13.218128806481378
