Tract index,CALI
1,-0.16213773596572467
2,-0.15019322180924177
3,-0.13434594544737966
4,-0.14265447718472613
5,-0.1477698592716895
6,-0.14818461006438588
7,-0.1516357411869953
8,-0.13284618047270547
9,-0.1374536293589207
10,-0.14118206165445568
11,-0.18744769512384862
12,-0.14811150277043938
13,-0.2092920888439722
14,-0.16364411873766815
15,-0.1509708841259103
16,-0.1322615961374768
17,-0.13385045673510654
18,-0.1568648988099698
19,-0.11298860990611703
whole GM,13.286688815548604
