Tract,Lat,Lon,Population,DensityPerAcre
T0,47.7182512,-122.292897,4588.2,9
T1,47.7228808,-122.3474618,4757.2,9
T2,47.698445,-122.303636125,3820.75,11.25
T3,47.6987796666667,-122.363460833333,4726.66666666667,10
T4,47.678406,-122.371012777778,5377.55555555556,15
T5,47.677845,-122.297011888889,4594.44444444444,12.7777777777778
T6,47.66186975,-122.32819025,5082.58333333333,21.0416666666667
T7,47.6477685,-122.39385675,5546.25,7.5
T8,47.634931,-122.357979,5065.42857142857,19.2857142857143
T9,47.635244,-122.309974833333,4085,11.6666666666667
T10,47.609927,-122.337316571429,3998.57142857143,35
T11,47.61616,-122.313808,4792.11111111111,32.7777777777778
T12,47.6032826666667,-122.308491166667,4082.66666666667,21.6666666666667
T13,47.580873,-122.308776,5510.5,8.75
T14,47.5740508,-122.38898,5340,11
T15,47.54873575,-122.37449275,6328,11.25
T16,47.5564965,-122.2848775,6607.25,12.5
T17,47.5284408333333,-122.2743025,6308.5,11.6666666666667
T18,47.5243176666667,-122.380968333333,4651,8.33333333333333
T19,47.5306865,-122.3384405,4844.5,7.5
